name,name_kr,bre_name,country,category,style,abv,image
Franziskaner Weissbier Natur,프란치스카너,Spaten-Franziskaner-Brau,DE,ETC,Weissbier,5,franziskanerweissbiernatur.jpg
Full of Fall,가을가득,Magpie Brewing,KR,ETC,Rye Amber,5.5,fulloffall.jpg
Galmegi IPA,달매기 아이피에이,Galmegi Brewing,KR,ALE,American IPA,6.5,galmegi.jpg
Gangseo,강서,7brau,KR,ALE,American Pale Ale (APA),4.6,gangseo.png
Galaxy Bomb,갤러시밤,The Booth Brewing,KR,ALE,American Pale Ale (APA),5.25,gb.jpg
Blonde Ale,,Gorilla Brewing Company,KR,ALE,Blonde Ale,5.2,gba.png
Blackcurrant Gose,,Gorilla Brewing Company,KR,ETC,Sour,4.1,gbg.jpeg
Geumgang Mountain Dark Ale,금강산 다크 에일,Craftworks Taphouse,KR,ALE,American Black Ale,4.6,Geumgang.jpg
Gwangalli Wheat,광안리 Wheat,Gorilla Brewing Company,KR,ETC,Wheat Beer,4.7,ggwb.png
Gyunglidan Hipster Ale,경리단힙스터 에일,The Booth Brewing,KR,ALE,Session IPA,4.5,gha.jpg
The Ghost,고스트,Magpie Brewing,KR,ETC,Leipzig Gose,4.5,ghost.jpg
Gillian,,Goose Island Beer Co.,US,ALE,Belgian Farm House Ale,7.5,gillian.jpg
Galaxy IPA,,Pogona Brewing Company,KR,ALE,American IPA,6.5,gipa.jpg
Gorillager,고릴라거,Gorilla Brewing Company,KR,LAGER,Lager,4.7,glager.jpg
London IPA,,Gorilla Brewing Company,KR,ALE,American IPA,5.8,glipa.jpg
Gorilla IPA,,Gorilla Brewing Company,KR,ALE,American IPA,5.4,goipa.png
Goose 312 Urban Wheat,,Goose Island Beer Co.,US,ALE,American Wheat Ale,4.2,goose312.jpg
Goose Four Star Pils,,Goose Island Beer Co.,US,LAGER,Pilsner Lager,5.1,goosefoutstar.jpg
Goose Green Line,,Goose Island Beer Co.,US,ALE,American Pale Ale,5.4,goosegreenline.jpg
Goose Honkers Ale,,Goose Island Beer Co.,US,ETC,English Style Bitter,4.3,goosehonkers.jpg
Goose IPA,,Goose Island Beer Co.,US,ALE,India Pale Ale,5.9,gooseIPA.jpg
Raspberry Wheat,,Gorilla Brewing Company,KR,WEIZEN,Hefeweizen,6.2,gr.png
Sour IPA,,Gorilla Brewing Company,KR,ALE,India Pale Ale,6.2,gsipa.png
British Stout,,Gorilla Brewing Company,KR,STOUT,English Stout,6.3,gstout.jpg
Gyurriden Ale,규리든 Ale,Jespi - Jeju Beer Land,KR,ALE,Golden Ale,4.5,gur.jpg
Haeundae,해운대,Korea Craft Brewery,KR,ETC,Fruit Beer,4.2,hae.png
Halia,,Goose Island Beer Co.,US,ALE,Belgian Farm House Ale,7.5,halia.jpg
Halla Mountain Golden Ale,한라산 골든 에일,Craftworks Taphouse,KR,ETC,English Bitter,4.6,halla.jpg
Harbin,하얼빈,Harbin Brewery Group,CN,LAGER,European Pale Lager,4.3,Harbin.png
Harvest IPA,,The Hand and Malt Brewing Company,KR,ALE,India Pale Ale,7.4,harvest.jpg
One Big Pot Sour Ale,한솥밥,The Booth Brewing,KR,ALE,Sour Ale,6.6,has.jpg
Hop Bomb,,Gorilla Brewing Company,KR,ALE,India Pale Ale,8.5,hb.jpg
Herry Porter,해리포터,Weizenhaus,KR,PORTER,Porter,5.5,herryporter.png
Hibi Passion Sour,,Gorilla Brewing Company,KR,ETC,Sour,3.7,hibi.png
Hite,하이트 엑스트라 콜드,Hite Brewery Company LTD,KR,LAGER,European Pale Lager,4.5,hite.jpg
Hite Extra Cold,하이트 엑스트라 콜드,Hite Brewery Company LTD,KR,LAGER,American Adjunct Lager,4.3,hiteextacold.jpg
Hite Pale Lager,하이트 페일 라거,Hite Brewery Company LTD,KR,LAGER,European Pale Lager,4.3,hitepalelager.jpg
Hite Zero,하이트 제로,Hite Brewery Company LTD,KR,ETC,Low Alcohol Beer,0,hitezero.jpg
Hey Jude Hop Ale,헤이쥬드 홉에일,The Booth Brewing,KR,ALE,Hop Ale,6.6,hj.jpg
Eureka Seoul Huell Melon Hop Ale,유레카서울 휴멜론 홉에일,The Booth Brewing,KR,ALE,Hop Ale,6.5,hm.jpg
Happy New Bier,새해종 팜하우스 에일,The Booth Brewing,KR,ALE,Farmhouse Ale,6,hnb.jpg
Hoegaarden,호가든,Brouwerij van Hoegaarden,BE,ETC,Belgian Witbier,4.9,hoegaarden.jpg
Hoppy Brown,,Made In PONG DANG,KR,ALE,American Brown Ale,5.6,hoppy.jpg
Hangang Saison,한강 세종,The Booth Brewing,KR,ETC,Saison,5.5,hs.jpg
Hug Me,,Korea Craft Brewery,KR,ETC,Belgian Witbier,5.5,hugme.jpg
Inseng Pale Ale,인생에일,Platinum Craft Beer,KR,ALE,Pale Ale,5.2,inseng.jpg
Strong Ale,,Jespi - Jeju Beer Land,KR,ALE,Belgian Blonde Ale,6.5,jb.png
Jane Eyre Amber Ale,제인 에어 앰버에일,The Booth Brewing,KR,ALE,Amber Ale,6,jeaa.jpg
Jameson Barrel Aged Amazing IPA,,Amazing Brewing Company,KR,ALE,India Pale Ale,6,jipa.jpg
Jirisan Moon Bear IPA,지리산 반달곰 IPA,Craftworks Taphouse,KR,ALE,American IPA,6.8,jirisan.jpg
Lager,,Jespi - Jeju Beer Land,KR,LAGER,Amber Lager,4.5,jl.png
Pale Ale,,Jespi - Jeju Beer Land,KR,ALE,American Pale Ale,4.5,jpa.png
Stout,,Jespi - Jeju Beer Land,KR,STOUT,Stout,5,js.png
Juicy Box,주시박스,Magpie Brewing,KR,ALE,Sour Ale,4.5,juicybox.jpg
